,movieId,title,genres,extra_metadata
32,34,Babe (1995),Children|Drama,Hugo Weaving James Cromwellbabe is a little pig who doesnt quite know his place in the world with a bunch of odd friends like ferdinand the duck who thinks he is a rooster and fly the dog he calls mum babe realises that he has the makings to become the greatest sheep pig of all time and farmer hogget knows it with the help of the sheep dogs babe learns that a pig can be anything that he wants to be
33,36,Dead Man Walking (1995),Crime|Drama,Susan Sarandon Sean Penn R. Lee Ermey Celia Weston Clancy Brown Peter Sarsgaard Jack Black Eva Amurri Martino Tim Robbins Tim Robbins Tim Robbins Julia Roberts Clancy Browna death row inmate turns for spiritual guidance to a local nun in the days leading up to his scheduled execution for the murders of a young couple
34,38,It Takes Two (1995),Children|Comedy,Kirstie Alley Steve Guttenberg Jane Sibbettidentical 9yearolds from very different backgrounds orphaned amanda and wealthy alyssa meet at summer camp and decide to switch places  and play matchmaker between alyssas dad roger and the kind social worker who cares for amanda
35,39,Clueless (1995),Comedy|Romance,Alicia Silverstone Brittany Murphy Paul Rudd Breckin Meyer Jeremy Sisto Dan Hedaya Wallace Shawnshallow rich and socially successful cher is at the top of her beverly hills high schools pecking scale seeing herself as a matchmaker cher first coaxes two teachers into dating each other emboldened by her success she decides to give hopelessly klutzy new student tai a makeover when tai becomes more popular than she is cher realizes that her disapproving exstepbrother was right about how misguided she was  and falls for him
36,40,"Cry, the Beloved Country (1995)",Drama,James Earl Jones Richard Harrisa southafrican preacher goes to search for his wayward son who has committed a crime in the big city
37,41,Richard III (1995),Drama|War,Ian McKellen Annette Bening Jim Broadbent Robert Downey Jr. Kristin Scott Thomas Maggie Smith Tim McInnerny Jim Carter Dominic West Ian McKellen Ian McKellena murderous lust for the british throne sees richard iii descend into madness though the setting is transposed to the 1930s england is torn by civil war split between the rivaling houses of york and lancaster richard aspires to a fascist dictatorship but must first remove the obstacles to his ascension—among them his brother his nephews and his brothers wife when the duke of buckingham deserts him richards plans are compromised
38,42,Dead Presidents (1995),Action|Crime|Drama,Keith David Chris Tucker Clifton Powell Terrence Howard Bokeem Woodbine Elizabeth Rodriguez Michael Imperioli Martin Sheen Isaiah Washington Albert Hughes Albert Hughes Albert Hugheson the streets they call cash dead presidents and thats just what a vietnam veteran is after when he returns home from the war only to find himself drawn into a life of crime with the aid of his fellow vets he plans the ultimate heist  a daring robbery of an armored car filled with unmarked us currency
39,43,Restoration (1995),Drama,Robert Downey Jr. Meg Ryan Sam Neill David Thewlis Hugh Grant Polly Walker Ian McKellen Ian McDiarmidan aspiring young physician robert merivel found himself in the service of king charles ii and saves the life of someone close to the king merivel joins the kings court and lives the high life provided to someone of his position merivel is ordered to marry his kings mistress in order to divert the queens suspicions he is given one order by the king and that is not to fall in love the situation worsens when merivel finds himself in love with his new wife eventually the king finds out and relieves merivel of his position and wealth his fall from grace leaves merivel where he first started and through his travels and reunions with an old friend he rediscovers his love for true medicine and what it really means to be a physician
40,44,Mortal Kombat (1995),Action|Adventure|Fantasy,Christopher Lambert Linden Ashby Bridgette Wilson-Sampras Frank Welker Kevin Michael Richardson Paul W. S. Anderson Traci Lordsfor nine generations an evil sorcerer has been victorious in handtohand battle against his mortal enemies if he wins a tenth mortal kombat tournament desolation and evil will reign over the multiverse forever to save earth three warriors must overcome seemingly insurmountable odds their own inner demons and superhuman foes in this actionadventure movie based on one of the most popular video games of all time
41,45,To Die For (1995),Comedy|Drama|Thriller,Nicole Kidman Matt Dillon Joaquin Phoenix Casey Affleck Dan Hedaya Wayne Knight Kurtwood Smith Holland Taylor David Cronenbergsuzanne stone wants to be a worldfamous news anchor and she is willing to do anything to get what she wants what she lacks in intelligence she makes up for in cold determination and diabolical wiles as she pursues her goal with relentless focus she is forced to destroy anything and anyone that may stand in her way regardless of the ultimate cost or means necessary
42,46,How to Make an American Quilt (1995),Drama|Romance,Winona Ryder Anne Bancroft Ellen Burstyn Jean Simmons Alfre Woodard Dermot Mulroney Kate Capshaw Johnathon Schaech Samantha Mathis Jared Leto Claire Danes Holland Taylor Richard Jenkins Adam Baldwin Michael McElroy Tamala Jones Mykelti Williamsonsoontobewed graduate student finn dodd develops cold feet when she suspects her fiancé is cheating on her in order to clear her head finn visits her grandmother hy and great aunt glady joe cleary in grasse calif there finn learns that hy and glady joe are members of a group of passionate quilters and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom
43,47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,Brad Pitt Morgan Freeman Gwyneth Paltrow R. Lee Ermey John C. McGinley Mark Boone Junior Richard Schiff Kevin Spacey Suzanne Crowley David Fincher Kane Hoddertwo homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the seven deadly sins in this dark and haunting film that takes viewers from the tortured remains of one victim to the next the seasoned det sommerset researches each sin in an effort to get inside the killers mind while his novice partner mills scoffs at his efforts to unravel the case
44,48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,Irene Bedard Mel Gibson Christian Bale Billy Connolly Frank Welker Linda Hunt Jim Cummingspocahontas daughter of a native american tribe chief falls in love with an english soldier as colonists invade 17th century virginia
45,49,When Night Is Falling (1995),Drama|Romance,a prudish woman working on tenure as a literacy professor at a large urban university finds herself attracted to a freespirited liberal woman who works at a local carnival
46,50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,Gabriel Byrne Stephen Baldwin Kevin Spacey Kevin Pollak Pete Postlethwaite Giancarlo Esposito Benicio del Toro Dan Hedaya Clark Gregg Peter Greene Christopher McQuarrie Christopher McQuarrieheld in an la interrogation room verbal kint attempts to convince the feds that a mythic crime lord keyser soze not only exists but was also responsible for drawing him and his four partners into a multimillion dollar heist that ended with an explosion in san pedro harbor – leaving few survivors verbal lures his interrogators with an incredible story of the crime lords almost supernatural prowess
47,52,Mighty Aphrodite (1995),Comedy|Drama|Romance,Woody Allen Mira Sorvino Helena Bonham Carter F. Murray Abraham Michael Rapaport Jack Warden Peter Weller Paul Giamatti J. Smith-Cameron Woody Allen Woody Allenwhen lenny and his wife amanda adopt a baby lenny realizes that his son is a genius and becomes obsessed with finding the boys biological mother in hopes that she will be brilliant too but when he learns that maxs mother is linda ash a kindhearted prostitute and porn star lenny is determined to reform her immoral lifestyle a greek chorus chimes in to relate the plot to greek mythology in this quirky comedy
48,53,Lamerica (1994),Adventure|Drama,fiore an italian conman arrives in post communist albania with gino his young apprentice to set up a shoe factory that will never open the con requires a native albanian so they designate spiro an impoverished and confused former political prisoner as chairman of the board when fiore returns to italy to get government funds for the project spiro unexpectedly disappears and gino sets out on a journey to find him the search leads him to discover spiros tragic personal history and witness albanian poverty firsthand
49,54,"Big Green, The (1995)",Children|Comedy,Olivia d'Abo Steve Guttenbergin a depressed texas town british foreign exchange teacher anna attempts to inject some life into her hopeless kids by introducing them to soccer theyre terrible at first but anna and her footballhero assistant whip them into shape as they work overtime the pair help kids build their selfesteem and also get involved in solving family squabbles
50,55,Georgia (1995),Drama,Jennifer Jason Leigh Mare Winningham Ted Levine John C. Reilly Tom Bower Jennifer Jason Leighsadie looks up to her older sister georgia a successful folk singer whos happily married with children but cant break out of the barband circuit and hit the big time she desperately covets its in part due to her attraction to drugs and booze and also to her own unwise choice in men finally though sadies achilles heel is a rough unlovely voice very different than her sisters crowdpleasing singing
51,57,Home for the Holidays (1995),Drama,Holly Hunter Robert Downey Jr. Anne Bancroft Dylan McDermott Geraldine Chaplin Steve Guttenberg Claire Danes David Strathairn Jodie Foster Jodie Fosterafter losing her job making out with her soontobe former boss and finding out that her daughter plans to spend thanksgiving with her boyfriend claudia larson faces spending the holiday with her unhinged family
52,58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,Maria Grazia Cucinottasimple italian postman learns to love poetry while delivering mail to a famous poet he uses this to woo local beauty beatrice
53,60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,Richard Jenkins Steve Coogan David Keith Vincent Kartheiser Frank Welker Frank Oza nineyearold boy gets a plastic indian and a cupboard for his birthday and finds himself involved in adventure when the indian comes to life and befriends him
54,61,Eye for an Eye (1996),Drama|Thriller,Sally Field Kiefer Sutherland Ed Harris Beverly D'Angelo Joe Mantegna Keith David Cynthia Rothrock Donal Logue Amanda Silverits fire and brimstone time as grieving mother karen mccann takes justice into her own hands when a kangaroo court in los angeles fails to convict robert doob the monster who raped and murdered her 17yearold daughter
55,62,Mr. Holland's Opus (1995),Drama,Richard Dreyfuss William H. Macy Alicia Witt Terrence Howard Jean Louisa Kelly Zoe McLellan Balthazar Getty Forest Whitaker Sharon Bialyin 1965 passionate musician glenn holland takes a day job as a high school music teacher convinced its just a small obstacle on the road to his true calling writing a historic opus as the decades roll by with the composition unwritten but generations of students inspired through his teaching holland must redefine his lifes purpose
56,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,Shawn Wayans Marlon Wayans Vivica A. Fox Bernie Mac Faizon Love Omar Epps Marlon Wayans Keenen Ivory Wayans Shawn Wayanswhen ashtray moves to south central la to live with his father who appears to be the same age he is and grandmother who likes to talk tough and smoke reefer he falls in with his gangbanging cousin loc dog who along with the requisite pistols and uzi carries a thermonuclear warhead for selfdefense will ashtray be able to keep living the straight life
57,64,Two if by Sea (1996),Comedy|Romance,Sandra Bullock Denis Leary Stephen Dillane Mike Starr Jonathan Tucker Denis Leary Denis Learyfrank obrien a petty thief and his 7yearlong girlfriend roz want to put an end to their unsteady lifestyle and just do that last job which involves stealing a valuable painting frank takes roz to an island on the coast of new england where he wants to sell the painting and also hopes that their sagging relationship will get a positive push back up not everything goes as planned
58,65,Bio-Dome (1996),Comedy,Stephen Baldwin William Atherton Teresa Hill Rose McGowan Jack Blackbud and doyle are two losers who are doing nothing with their lives both of their girlfriends are actively involved in saving the environment but the two friends couldnt care less about saving the earth one day when a group of scientists begin a mission to live inside a biodome for a year without outside contact bud and doyle mistakenly become part of the project themselves
59,66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,Patrick Bergin Matt Frewer Austin O'Brien Patricia Belcher Stephen Kingjobe is resuscitated by jonathan walker he wants jobe to create a special computer chip that would connect all the computers in the world into one network which walker would control and use but what walker doesnt realize is a group of teenage hackers are on to him and out to stop his plan
60,68,French Twist (Gazon maudit) (1995),Comedy|Romance,after learning of her husbands infidelities a housewife invites an itinerant lesbian to move in with them none of their lives will ever be the same again
61,69,Friday (1995),Comedy,Ice Cube Chris Tucker Nia Long Regina King Faizon Love Bernie Mac Meagan Good Michael Clarke Duncan Ice Cubecraig and smokey are two guys in los angeles hanging out on their porch on a friday afternoon smoking and drinking looking for something to do
62,70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,George Clooney Quentin Tarantino Harvey Keitel Juliette Lewis Salma Hayek Danny Trejo Michael Parks Kelly Preston Aimee Graham Robert Rodriguez Robert Rodriguez Robert Rodriguez Robert Rodriguez Robert Rodriguez Robert Rodriguez Quentin Tarantino Quentin Tarantino Salma Hayekseth gecko and his younger brother richard are on the run after a bloody bank robbery in texas they escape across the border into mexico and will be homefree the next morning when they pay off the local kingpin they just have to survive from dusk till dawn at the rendezvous point which turns out to be a hell of a strip joint
63,71,Fair Game (1995),Action,William Baldwin Steven Berkoff Christopher McDonald Miguel Sandoval Salma Hayek Dan Hedaya Kane Hoddermax kirkpatrick is a cop who protects kate mcquean a civil law attorney from a renegade kgb team out to terminate her
64,72,Kicking and Screaming (1995),Comedy|Drama,Josh Hamilton Olivia d'Abo Parker Posey Cara Buono Elliott Gould Eric Stoltz Jessica Hechtafter college graduation grovers girlfriend jane tells him shes moving to prague to study writing grover declines to accompany her deciding instead to move in with several friends all of whom cant quite work up the inertia to escape their universitys pull nobody wants to make any big decisions that would radically alter his life yet none of them wants to end up like chet the professional student who tends bar and is in his tenth year of university studies
65,73,"Misérables, Les (1995)",Drama|War,Jean-Paul Belmondoin france during world war ii a poor and illiterate man henri fortin jeanpaul belmondo is introduced to victor hugos classic novel les misérables and begins to see parallels between the book and his own life
66,74,Bed of Roses (1996),Drama|Romance,Christian Slater Mary Stuart Masterson Pamela Adlon Josh Brolin Ally Walker Gina Torres Aldis Hodgethe seeds of love are planted when lisa a highpowered investment banker receives flowers from a secret admirer but when his fairytale fantasies clash with her workaholic ways they soon find out that sometimes its harder than it seems for love to conquer all
67,75,Big Bully (1996),Comedy|Drama,Tom Arnold Carol Kane Jeffrey Tambor Curtis Armstrong Don Knotts Tony Piercea writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined only the bully wants to relive their painful past by torturing him once again
68,76,Screamers (1995),Action|Sci-Fi|Thriller,Peter Wellersirius 6b year 2078 on a distant mining planet ravaged by a decade of war scientists have created the perfect weapon a bladewielding selfreplicating race of killing devices known as screamers designed for one purpose only  to hunt down and destroy all enemy life forms
69,77,Nico Icon (1995),Documentary,a look into the many lives of christa päffgen otherwise known as nico from cutie german mädchen to the first of the supermodels to glamorous diva of the velvet underground to cult item junkie and hag many faces for the same woman whom you realize just couldnt bring herself to care enough to live
70,78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,Jack Nicholson David Morse Anjelica Huston Robin Wright Kari Wuhrer Sean Penn Sean Penn Sean Pennafter his daughter died in a hit and run freddy gale has waited six years for john booth the man responsible to be released from prison on the day of release gale visits booth and announces that he will kill him in one week booth uses his time to try and make peace with himself and his entourage and even finds romance gale whose life is spiraling down because of his obsession towards booth will bring himself on the very edge of sanity at he end of the week both men will find themselves on a collision course with each other
71,79,"Juror, The (1996)",Drama|Thriller,Demi Moore Alec Baldwin Joseph Gordon-Levitt Anne Hechewith his gangster boss on trial for murder a mob thug known as the teacher tells annie laird she must talk her fellow jurors into a notguilty verdict implying that hell kill her son oliver if she fails she manages to do this but when it becomes clear that the mobsters might want to silence her for good she sends oliver abroad and tries to gather evidence of the plot against her setting up a final showdown
72,80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,several people try to take advantage of a little girls innocence to hustle money her mom gave to her to buy a goldfish with
73,81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,Andy García Christopher Lloyd William Forsythe Treat Williams Jack Warden Steve Buscemi Fairuza Balk Gabrielle Anwar Christopher Walken Jenny McCarthy-Wahlberg Don Cheadle Josh Charlesfive different criminals face imminent death after botching a job quite badly
74,82,Antonia's Line (Antonia) (1995),Comedy|Drama,after world war ii antonia and her daughter danielle go back to their dutch hometown where antonias late mother has bestowed a small farm upon her there antonia settles down and joins a tightlyknit but unusual community those around her include quirky friend crooked finger wouldbe suitor bas and eventually for antonia a granddaughter and greatgranddaughter who help create a strong family of empowered women
75,83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,Phylicia Rashād Salli Richardson-Whitfieldthis film relates the story of a tightly connected afroamerican community informally called colored town where the inhabitants live and depend on each other in a world where racist oppression is everywhere as told by a boy called cliff who spent his childhood there despite this we see the life of the community in all its joys and sorrows of those that live there while others decide to leave for a better life north for those remaining things come to a serious situation when one prominent businessman is being muscled out by a white competitor using racist intimidation in response the community must make the decision of whether to submit meekly like they always have or finally fight for their rights
76,85,Angels and Insects (1995),Drama|Romance,Mark Rylance Kristin Scott Thomas Patsy Kensit Annette Badlandin victorian england wealthy patriarch sir harald alabaster invites an impoverished biologist william adamson into his home there william tries to continue his work but is distracted by alabasters seductive daughter eugenia william and eugenia begin a torrid romance but as the couple become closer the young scientist begins to realize that dark disturbing things are happening behind the closed doors of the alabaster manor
77,86,White Squall (1996),Action|Adventure|Drama,Jeff Bridges Caroline Goodall Scott Wolf Jeremy Sisto Ryan Phillippe Jason Marsden Zeljko Ivanek Balthazar Getty Ethan Embry Ridley Scott Ridley Scott Ethan Embryin 1960 a hardy group of prep school students boards an oldfashioned sailing ship with capt christopher sheldon at the helm the oceangoing voyage is intended to teach the boys fortitude and discipline but the youthful crew are about to get some unexpected instruction in survival when they get caught in the clutches of a white squall storm
78,87,Dunston Checks In (1996),Children|Comedy,Jason Alexander Rupert Everett Paul Reubens Bree Turner Paula Malcomson Frank Welkerhotel manager robert grant is forced by his boss to postpone his family vacation when a hotel critic checks in trouble is the critic is really a villainous jewel thief with an orangutan assistant named dunston when dunston gets loose and tries to escape a life of crime  aided by roberts sons  havoc hijinks and lots of laughs abound
